"glacier_name","year","glacier_mass_balance","temperature","precipitation","zonal_wind_speed","relative_humidity","net_solar_radiation"
"Echaurren_Norte",2013,-1.03,-2.49103536666667,2.61060780833333,0.0839371016666667,0.607566658333333,139.674669166667
"Echaurren_Norte",2014,-0.94,-2.79701000833333,2.58890855833333,0.0793754666666667,0.603825133333333,140.308021666667
"Echaurren_Norte",2015,-1.72,-1.84046441,2.97888763333333,0.227005766666667,0.616364058333333,137.440104166667
"Echaurren_Norte",2016,-2.284,-2.66092231666667,3.31192123333333,-0.03846606,0.66245725,123.655584166667
"Echaurren_Norte",2017,-0.353,-2.79788466666667,2.55141095833333,-0.0456248433333333,0.630885383333333,129.458555
"Echaurren_Norte",2018,-3.592,-1.98671474166667,2.52973975833333,0.0710353299166667,0.601190916666667,137.449238333333
"Echaurren_Norte",2019,-2.246,-0.868151375,1.62199125833333,0.245408471666667,0.546810816666667,161.092709166667
"Echaurren_Norte",2020,-2.43,-0.73003175,2.11396336666667,0.325922442333333,0.560387775,166.6204175
"Echaurren_Norte",2021,-0.7,-1.57039385833333,2.00833684166667,0.153007183333333,0.564211466666667,159.45224
"Echaurren_Norte",2022,-1.161,-2.33727250833333,2.20215650833333,0.116729434166667,0.572151483333333,151.100960833333
"Echaurren_Norte",2023,-1.125,-1.04531858333333,3.77353654166667,0.331496840833333,0.619976725,146.313219166667
"Gulkana",1976,0,-5.70366418333333,2.3594775,1.97073295833333,0.728778266666667,63.74752875
"Gulkana",1977,0.38,-5.29292205,2.52270503333333,2.30729045,0.730871833333333,63.7504938333333
"Gulkana",1978,-0.02,-4.469303625,2.3197215,2.31450186191667,0.716398016666667,61.41301325
"Gulkana",1979,-0.22,-5.85409055,2.31128460833333,2.04930133333333,0.686788158333333,63.7015125833333
"Gulkana",1980,0.56,-5.843932625,2.40355558333333,1.303657425,0.694671241666667,59.7498135833333
"Gulkana",1981,-0.18,-4.64101075,3.07339494166667,2.1660338925,0.726337125,59.7063430833333
"Gulkana",1982,-0.57,-7.63313169166667,2.2984385,1.99666675,0.702295458333333,58.2856148333333
"Gulkana",1983,0.32,-5.810945125,2.63757209166667,1.85271055833333,0.706237975,58.4747634166667
"Gulkana",1984,-0.56,-6.07152165,2.30285825833333,1.97961615583333,0.726312941666667,60.824074
"Gulkana",1985,-0.34,-6.95197325,2.90429213333333,2.62812499166667,0.7350125,53.4021671666667
"Gulkana",1986,-0.04,-5.88071686666667,2.503708,1.8838295325,0.701471933333333,61.6686865833333
"Gulkana",1987,-0.69,-5.30678326666667,2.599068975,1.87562590833333,0.729404425,59.4310238333333
"Gulkana",1988,-0.02,-5.67342573333333,2.74733359166667,1.8559424,0.746524433333333,57.0033435833333
"Gulkana",1989,-0.49,-6.25646293333333,2.36097728333333,3.01096935,0.674823708333333,63.9520279166667
"Gulkana",1990,-0.74,-6.9010481,2.93916539166667,2.92149558583333,0.725490358333333,65.6451604166667
"Gulkana",1991,-0.49,-5.7924566,2.28972854166667,2.574107625,0.733714025,63.0614453333333
"Gulkana",1992,-0.78,-6.8574035,2.46850408333333,2.64631054166667,0.748227825,56.3962678333333
"Gulkana",1993,-1.58,-4.67499636666667,2.59498405,3.4521131,0.710382341666667,66.3085014166667
"Gulkana",1994,-0.46,-6.50387459166667,2.25646185833333,1.943352975,0.721852525,63.4346943333333
"Gulkana",1995,-1.08,-5.776679,1.96079984166667,1.42058905833333,0.711790708333333,61.396229
