"glacier_name","year","glacier_mass_balance","temperature","precipitation","wind_speed","humidity","long_wave_radiation"
"Austre_Broeggerbreen",1976,-0.45,-11.3982670166667,1.26703471666667,6.52463716666667,2.13871060833333,-35.6506366666667
"Austre_Broeggerbreen",1977,-0.11,-12.6319554533333,1.05730305833333,5.54226866666667,-5.360432075,-34.6938175
"Austre_Broeggerbreen",1978,-0.56,-13.6436405583333,0.764191341666667,5.44989575,-1.72042977183333,-39.1665483333333
"Austre_Broeggerbreen",1979,-0.71,-11.9911789833333,1.01844310833333,6.34773558333333,-4.67760075833333,-34.8162841666667
"Austre_Broeggerbreen",1980,-0.52,-11.8707739333333,0.909553291666667,5.84284416666667,-1.50975486666667,-39.1749325
"Austre_Broeggerbreen",1981,-0.55,-11.28726,1.04998941666667,6.31221441666667,-3.04321158333333,-38.0695083333333
"Austre_Broeggerbreen",1982,-0.04,-10.7066771083333,1.29040051666667,6.360697,-4.85154846666667,-34.4866741666667
"Austre_Broeggerbreen",1983,-0.27,-12.7781311991667,0.946309475,6.073536,-4.15324433333333,-39.5612958333333
"Austre_Broeggerbreen",1984,-0.73,-9.838710225,1.39335626666667,6.47274983333333,-4.03905148333333,-32.5964091666667
"Austre_Broeggerbreen",1985,-0.55,-10.8198220083333,0.886484508333333,5.85910225,-3.46941639166667,-36.7880525
"Austre_Broeggerbreen",1986,-0.32,-12.033354175,0.904603083333333,5.40723291666667,-1.5957447325,-35.58637
"Austre_Broeggerbreen",1987,0.22,-12.2816518966667,0.885906391666667,5.91366691666667,-3.91479525,-36.3518475
"Austre_Broeggerbreen",1988,-0.52,-13.2944583416667,0.643514283333333,5.39197916666667,-0.501441475,-38.0585741666667
"Austre_Broeggerbreen",1989,-0.45,-12.9384860683333,1.1513871,5.81636425,-4.86329043333333,-35.665365
"Austre_Broeggerbreen",1990,-0.66,-10.15971865,1.34305118333333,6.39444108333333,-5.07085930833333,-34.7155641666667
"Austre_Broeggerbreen",1991,0.13,-12.0281332,0.987321458333334,5.48240166666667,-2.25814028333333,-38.8951466666667
"Austre_Broeggerbreen",1992,-0.1,-11.1413735308333,1.29149515,6.082736,-2.45563413333333,-35.4839191666667
"Austre_Broeggerbreen",1993,-1.03,-12.9944692105,1.15445106666667,6.13954733333333,-1.75969265833333,-34.8178315
"Austre_Broeggerbreen",1994,-0.16,-12.7241041233333,0.79394265,6.12218841666667,-2.794098275,-36.2607316666667
"Austre_Broeggerbreen",1995,-0.78,-11.684981155,1.113320125,6.34643933333333,-3.73682423333333,-32.9018658333333
"Austre_Broeggerbreen",1996,-0.17,-10.7960174075,1.11856854166667,6.17796316666667,-4.2523825,-35.1414508333333
"Austre_Broeggerbreen",1997,-0.71,-10.8018887741667,0.937458258333333,5.86735666666667,-4.4719323,-38.7054491666667
"Austre_Broeggerbreen",1998,-0.86,-9.83796018416667,1.192973325,6.04957225,-2.98118341666667,-32.149636
"Austre_Broeggerbreen",1999,-0.36,-11.0750118166667,1.34370233333333,6.26567908333333,-1.030028375,-32.890435
"Austre_Broeggerbreen",2000,-0.022,-11.7151357583333,0.796858983333333,5.87804416666667,-3.21242988333333,-37.9664791666667
"Austre_Broeggerbreen",2001,-0.476,-11.6102333475,1.0366246,6.01600141666667,-1.672532525,-37.4254308333333
"Austre_Broeggerbreen",2002,-0.565,-10.3324607833333,0.940378966666667,5.94413125,-3.06671833833333,-35.632285
"Austre_Broeggerbreen",2003,-0.899,-10.8319273166667,0.8761162,6.04804158333333,-7.50095315833333,-39.7746583333333
"Austre_Broeggerbreen",2004,-1.142,-10.7288360483333,1.21560713333333,6.66973141666667,-9.11661525,-32.3062625
"Austre_Broeggerbreen",2005,-0.981,-9.79916614166667,1.13545393333333,6.60321116666667,-4.69479900833333,-31.5788716666667
"Austre_Broeggerbreen",2006,-0.725,-10.195940975,1.58974133333333,6.1171715,-7.5892357,-34.60608
"Austre_Broeggerbreen",2007,-0.457,-10.699232775,1.33251421666667,6.15858466666667,-7.91512689166667,-34.12703
"Austre_Broeggerbreen",2008,-0.127,-11.1300577425,0.958607866666667,6.08235783333333,-5.53912233333333,-35.8983883333333
"Austre_Broeggerbreen",2009,-0.25,-11.19005245,1.08759871666667,5.58233508333333,-3.000728825,-32.244275
"Austre_Broeggerbreen",2010,-0.44,-11.9485232416667,0.63369545,5.26752183333333,-4.45976861916667,-35.420135
"Austre_Broeggerbreen",2011,-1.004,-10.6472892191667,1.34270151666667,6.11742316666667,-6.35234608333333,-32.9409416666667
"Austre_Broeggerbreen",2012,-0.175,-10.2045048166667,1.10487189166667,5.95515791666667,-3.940789925,-33.0017166666667
"Austre_Broeggerbreen",2013,-1.05,-10.9393033666667,0.986765083333333,5.71457016666667,-3.7698425,-35.9254216666667
"Austre_Broeggerbreen",2014,0.01,-10.1608127691667,1.15512435833333,5.4393265,-3.7217965475,-34.0434725
"Austre_Broeggerbreen",2015,-0.61,-10.0274697416667,1.36414999166667,6.373684,-9.74079300833333,-31.9137066666667
"Austre_Broeggerbreen",2016,-1.45,-8.93621017791667,0.997495433333333,5.90778833333333,-3.5737468,-32.8721733333333
"Austre_Broeggerbreen",2017,-0.79,-9.81880643333333,0.816333583333333,5.56982066666667,-5.192428855,-35.4676633333333
"Austre_Broeggerbreen",2018,-0.88,-9.7850290625,1.36713149166667,5.62931608333333,-3.0745756,-30.5880508333333
"Austre_Broeggerbreen",2019,-0.71,-11.8901109,0.911905566666667,5.3003985,0.759040875,-31.0551941666667
